title,star,quote,url
天堂电影院?/?Nuovo Cinema Paradiso?/?星光伴我心(港)  /  新天堂乐园(台),9.2,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,https://movie.douban.com/subject/1291828/
教父2?/?The Godfather: Part II?/?教父续集(港)  /  教父II,9.3,优雅的孤独。,https://movie.douban.com/subject/1299131/
狮子王?/?The Lion King?/?狮子王3D,9.1,动物版《哈姆雷特》。,https://movie.douban.com/subject/1301753/
辩护人?/?????/?逆权大状(港)  /  正义辩护人(台),9.2,电影的现实意义大过电影本身。,https://movie.douban.com/subject/21937445/
饮食男女?/?飲食男女?/?Eat Drink Man Woman,9.2,人生不能像做菜，把所有的料都准备好了才下锅。,https://movie.douban.com/subject/1291818/
搏击俱乐部?/?Fight Club?/?搏击会(港)  /  斗阵俱乐部(台),9,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,https://movie.douban.com/subject/1292000/
本杰明·巴顿奇事?/?The Curious Case of Benjamin Button?/?奇幻逆缘(港)  /  班杰明的奇幻旅程(台),9,在时间之河里感受溺水之苦。,https://movie.douban.com/subject/1485260/
美丽心灵?/?A Beautiful Mind?/?有你终生美丽(港)  /  美丽境界(台),9.1,爱是一切逻辑和原由。,https://movie.douban.com/subject/1306029/
穿条纹睡衣的男孩?/?The Boy in the Striped Pajamas?/?穿条纹衣服的男孩  /  穿条纹衣的男孩,9.2,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,https://movie.douban.com/subject/3008247/
窃听风暴?/?Das Leben der Anderen?/?窃听者(港)  /  他人的生活,9.2,别样人生。,https://movie.douban.com/subject/1900841/
情书?/?Love Letter?/?When I Close My Eyes  /  Letters of Love,8.9,暗恋的极致。,https://movie.douban.com/subject/1292220/
"两杆大烟枪?/?Lock, Stock and Two Smoking Barrels?/?够姜四小强(港)  /  两根枪管(台)",9.1,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,https://movie.douban.com/subject/1293350/
音乐之声?/?The Sound of Music?/?仙乐飘飘处处闻(港)  /  真善美(台),9.1,用音乐化解仇恨，让歌声串起美好。,https://movie.douban.com/subject/1294408/
